"id";"MotionOutcomeAndDescription";"PageURL";"MotionVoteOutcome";"VideoTimeSlot";"MeetingIDValue";"ItemID"
"1";"Passed    Motion To: Minutes 15 of Monday, 28 May 2012";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114378";"Passed";NULL;"1927";"114378"
"2";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114379";"Passed";NULL;"1927";"114379"
"3";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114382";"Passed";NULL;"1927";"114382"
"4";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114384";"Passed";NULL;"1927";"114384"
"5";"Passed    Motion To: ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109957";"Passed";NULL;"2154";"109957"
"6";"Passed    Motion To: That the Community and Protective Services Committee receive this report for information.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109316";"Passed";NULL;"2154";"109316"
"7";"Passed    Motion To: That the Community and Protective Services Committee recommend that Council approve that: 
1. The City of Ottawa maintain discretionary benefits to social assistance recipients at existing levels for the balance of 2012, and 
2. Staff complete a review of the Community and Social Services Department’s social investments and priorities to ensure the 2013 budget aligns to the Council endorsed budget strategies outlined in the Long Range Financial Plan IV document and report back as part of the 2013 budget process. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=108991";"Passed";NULL;"2154";"108991"
"8";"Passed    Motion To: That the Community and Protective Services Committee recommend Council approve: 
1. That the Terms of Reference of Crime Prevention Ottawa be modified to allow for a total of 16 members on the Board of Directors; and,
 2. That the following people be appointed to the Crime Prevention Ottawa Board of Directors for the period 2012-2016: Jim Devoe Claude Gingras Michael Horne Walter Piovesan ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109494";"Passed";NULL;"2154";"109494"
"9";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109676";"Passed";NULL;"2154";"109676"
"10";"Passed    Motion To: That Community and Protective Services Committee recommend that Council approve the proposal to rename the Merivale Centennial Arena, located at 1765 Merivale Road, the “Howard Darwin Centennial Arena”. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=108814";"Passed";NULL;"2154";"108814"
"11";"Passed    Motion To: That Community and Protective Services Committee recommend that Council approve the proposal to name a new park located at 1885 Celeste Way, “Linda Dunn Park”. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109745";"Passed";NULL;"2154";"109745"
"12";"Passed    Motion To: That Community and Protective Services Committee recommend that Council approve the proposal to name a future park at 3910 Prince of Wales Drive, “Patrick Bergin Park”. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109937";"Passed";NULL;"2154";"109937"
"13";"Passed    Motion To: That Community Protective Services Committee recommend that Council enact the amendments to the Parks and Facilities By-law, attached as Document 1, to prohibit the smoking of water-pipes and non-tobacco products on outdoor municipal property including all City parks, beaches and facilities. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109607";"Passed";NULL;"2154";"109607"
"14";"Passed    Motion To: ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109980";"Passed";NULL;"2211";"109980"
"15";"Passed    Motion To: That the committee RECEIVE the item for information";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109715";"Passed";NULL;"2211";"109715"
"16";"Passed    Motion To: That the Agriculture and Rural Affairs Committee recommend that Council consider the attached report pertaining to a petition for drainage works under Section 4 of the Drainage Act and appoint John van Gaal, P. Eng. of Stantec Consulting Ltd. as the Engineer of record to prepare a report in accordance with Section 8(1) of the Drainage Act and as outlined in this report. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109718";"Passed";NULL;"2211";"109718"
"17";"Passed    Motion To: That for the purpose of hearing any assessment appeals by landowners, the Agriculture and Rural Affairs Committee, pursuant to section 46 of the Drainage Act, will now resolve into sitting as the Court of Revision.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109696";"Passed";NULL;"2211";"109696"
"18";"Passed    Motion To: That the members of the Agriculture and Rural Affairs Committee, in their role as members of the Court of Revision, convene for the first sitting of the Court of Revision under Subsection 46(3) of the Drainage Act immediately following the meeting of the City’s Agriculture and Rural Affairs Committee on June 25, 2012 for the purpose of hearing appeals under Section 52 of the Drainage Act of landowners whose lands have been assessed in the Engineer’s Report For The Improvement of the South Cyrville Municipal Drain dated February 2012.";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109696";"Passed";NULL;"2211";"109696"
"19";"Passed    Motion To: That Documents 1 and 2 of Report ACS2012-PAI-PGM-00156, being Official Plan Amendment – Part of 3772 and 3872 Greenbank Road, be amended by replacing: 
1. The Location Map in Document 1 with the attached new Location Map; and, 
2. Schedule A in Document 2 with the attached new Schedule A; And Be it Further Resolved That no further notice be provided pursuant to Section 34(17) of the Planning Act. ";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109697";"Passed";NULL;"2211";"109697"
"20";"Passed    Motion To: 



That the Agriculture and Rural Affairs Committee recommend Council approve and adopt an amendment to Volume 1 of the Official Plan – Schedule A – Rural Policy Plan to redesignate part of 3772 and 3872 Greenbank Road from Sand and Gravel Resource Area to General Rural Area, as shown in Document 1 and detailed in Document 2, as amended by the new Location Map in Document 1 and new Schedule A in Document 2 and no further notice be provided pursuant to Section 34(17) of the Planning Act.

";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109697";"Passed";NULL;"2211";"109697"
