"id";"MeetingName";"Date";"Time";"DateTime";"Contact";"PageURL";"AgendaHTML";"AgendaPDF";"ActionSummaryHTML";"ActionSummaryPDF";"MinutesHTML";"MinutesPDF";"VideoLink";"MeetID";"UnixDateTime"
"1";"Information Technology Sub-Committee";"2012-Jun-18";"9:30 AM";"41078.3958";"Melody Duffenais613-580-2424 x20113
                Email: Melody.Duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=1927&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=2491";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=1927&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=2491";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=1927&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=2491";NULL;"1927";"1340098200"
"2";"Environment Committee";"2012-Jun-19";"9:30 AM";"41079.3958";"no contact";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2407&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3995";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2407&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3995";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2407&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3995";NULL;"2407";"1340184600"
"3";"Transit Commission";"2012-Jun-20";"9:30 AM";"41080.3958";"Melody Duffenais613-580-2424 x20113
                Email: melody.duffenais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2147&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=3599";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2147&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=3599";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2147&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=3599";NULL;"2147";"1340271000"
"4";"Community and Protective Services Committee";"2012-Jun-21";"9:30 AM";"41081.3958";"Marc Desjardins613-580-2424 x28821
                Email: Marc.Desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2154&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=2523";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2154&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=2523";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2154&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=2523";NULL;"2154";"1340357400"
"5";"Ottawa Built Heritage Advisory Committee";"2012-Jun-21";"9:30 AM";"41081.3958";"no contact";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2409&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4015";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2409&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4015";NULL;"2409";"1340357400"
"6";"Agriculture and Rural Affairs Committee";"2012-Jun-25";"9:30 AM";"41085.3958";"Marc Desjardins613 580 2424 ext 28821
                Email: Marc.Desjardins@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2211&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=2552";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2211&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=2552";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2211&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=2552";NULL;"2211";"1340703000"
"7";"Planning Committee";"2012-Jun-26";"9:30 AM";"41086.3958";"Christopher Zwierzchowski613-580-2424 x-21359
                Email: Christopher.Zwierzchowski@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2181&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4066";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2181&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4066";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2181&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4066";NULL;"2181";"1340789400"
"8";"City Council";"2012-Jun-27";"9:30 AM";"41087.3958";"Dawn Whelan613-580-2424 x 25639
                Email: Dawn.Whelan@Ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2484&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4528";NULL;NULL;"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2484&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4528";NULL;"2484";"1340875800"
"9";"Finance and Economic Development Committee";"2012-Jul-03";"9:30 AM";"41093.3958";"Diane Blais613-580-2424 x28091
                Email: Diane.Blais@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2412&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4057";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2412&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4057";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2412&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4057";NULL;"2412";"1341394200"
"10";"Transportation Committee";"2012-Jul-04";"9:30 AM";"41094.3958";"Rosemary Theriault613-580-2424 x21624
                Email: Rosemary.Theriault@ottawa.ca";"http://app05.ottawa.ca/sirepub/meetresults.aspx?view=Search&startdate=2012-Jun-18&enddate=2013-Feb-23";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2411&doctype=AGENDA";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=AGENDA&folderid=4044";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2411&doctype=SUMMARY";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=SUMMARY&folderid=4044";"http://app05.ottawa.ca/sirepub/mtgviewer.aspx?meetid=2411&doctype=MINUTES";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&doctype=MINUTES&folderid=4044";NULL;"2411";"1341480600"
