"id";"VoterTitle";"VoterName";"VoterVote";"PageURL";"MotionofVote";"NoVoteText";"MeetingIDValue";"ItemID";"VoteID"
"2500";"Commissioner";"J. Ferrabee  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125080";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125080";"J. Ferrabee  YesPassed    Motion To: That the(se) item(s) be Carried on consent.2271125080"
"2501";"Commissioner";"E. Rahn  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125080";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125080";"E. Rahn  AbsentPassed    Motion To: That the(se) item(s) be Carried on consent.2271125080"
"2502";"Commissioner";"C. Reporter  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125080";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125080";"C. Reporter  AbsentPassed    Motion To: That the(se) item(s) be Carried on consent.2271125080"
"2503";"Councillor";"R. Bloess  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"R. Bloess  YesPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
"2504";"Councillor";"S. Blais  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"S. Blais  AbsentPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
"2505";"Councillor";"S. Desroches  ";"Absent";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"S. Desroches  AbsentPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
"2506";"Councillor";"M. Wilkinson  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"M. Wilkinson  YesPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
"2507";"Councillor";"S. Qadri  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"S. Qadri  YesPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
"2508";"Councillor";"K. Egli  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"K. Egli  YesPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
"2509";"Councillor";"D. Deans  ";"Yes";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=125081";"Passed    Motion To: That the(se) item(s) be Carried on consent.";NULL;"2271";"125081";"D. Deans  YesPassed    Motion To: That the(se) item(s) be Carried on consent.2271125081"
