"id";"SupportingDocURL";"SupportingDocName";"PageURL";"SupportingMaterialDescription";"MeetingIDValue";"ItemID";"FileID"
"1";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42269";"Minutes 15 – Monday, 28 May 2012 - frenchminutes15.pdf";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114378";"Minutes 15 – Monday, 28 May 2012";"1927";"114378";"42269"
"2";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42270";"Minutes 15 – Monday, 28 May 2012 - englishminutes15.pdf";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114378";"Minutes 15 – Monday, 28 May 2012";"1927";"114378";"42270"
"3";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42271";"ITSC 02-11 - Availability of City Merchandise on O - Response to Inquiry 02-11.pdf";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114376";"ITSC 02-11 - Availability of City Merchandise on O-Zone (Tierney)";"1927";"114376";"42271"
"4";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42272";"ITSC 02-12 - Temporary Parking Permits through Ser - ITSC 02-12 -Temporary Parking Permits through Service Ottawa (Tierney).pdf";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114377";"ITSC 02-12 - Temporary Parking Permits through ServiceOttawa (Tierney)";"1927";"114377";"42272"
"5";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42273";"STATUS UPDATE – INFORMATION TECHNOLOGY SUB-COMMITT - ACS2012-CMR-CCB-0051 - ITSC Outstanding Inquiries and Motions[1].docx";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114382";"STATUS UPDATE – INFORMATION TECHNOLOGY SUB-COMMITTEE INQUIRIES AND MOTIONS FOR THE PERIOD ENDING 6 JUNE 2012";"1927";"114382";"42273"
"6";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42274";"CITY OF OTTAWA – TECHNOLOGY ROADMAP 2012 – 2015 –  - Technology Roadmap Status Update-ACS2012-COS-ITS-0002.docx";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114384";"CITY OF OTTAWA – TECHNOLOGY ROADMAP 2012 – 2015 – STATUS UPDATE";"1927";"114384";"42274"
"7";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42275";"CITY OF OTTAWA – TECHNOLOGY ROADMAP 2012 – 2015 –  - Document 1 - Technology Roadmap 2012-2015.pdf";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114384";"CITY OF OTTAWA – TECHNOLOGY ROADMAP 2012 – 2015 – STATUS UPDATE";"1927";"114384";"42275"
"8";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=42276";"CITY OF OTTAWA – TECHNOLOGY ROADMAP 2012 – 2015 –  - Document 2 - 2012-06-18 - Technology Roadmap Status.pdf";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=114384";"CITY OF OTTAWA – TECHNOLOGY ROADMAP 2012 – 2015 – STATUS UPDATE";"1927";"114384";"42276"
"9";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=22536";"Minutes 23 - 16 May 2012 - englishminutes23.doc";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109929";"Minutes 23 - 16 May 2012";"2147";"109929";"22536"
"10";"http://app05.ottawa.ca/sirepub/view.aspx?cabinet=published_meetings&fileid=22537";"Minutes 23 - 16 May 2012 - frenchminutes23.doc";"http://app05.ottawa.ca/sirepub/agdocs.aspx?doctype=agenda&itemid=109929";"Minutes 23 - 16 May 2012";"2147";"109929";"22537"
